C. RONALDO,PORTUGAL,28,100
IBRAHIMOVIĆ,SWEDEN,31,99
AGÜERO,ARGENTINA,25,99
MESSI,ARGENTINA,26,98
A. INIESTA,SPAIN,29,98
PIRLO,ITALY,34,96
XAVI,SPAIN,33,96
FALCAO,COLOMBIA,27,96
VAN PERSIE,NETHERLANDS,30,95
L. SUÁREZ,URUGUAY,26,95
NEUER,GERMANY,27,95
CAVANI,URUGUAY,26,95
KOMPANY,BELGIUM,27,95
NEYMAR,BRAZIL,21,95
CASILLAS,SPAIN,32,94
ÖZIL,GERMANY,24,94
SILVA,SPAIN,27,93
RIBÉRY,FRANCE,30,93
ČECH,CZECH REPUBLIC,31,93
BUFFON,ITALY,35,93
S. HANDANOVIČ,SLOVENIA,29,93
THIAGO SILVA,BRAZIL,29,92
CHIELLINI,ITALY,29,92
CESC FABREGAS,SPAIN,26,92
DIEGO,BRAZIL,28,92
R. LEWANDOWSKI,POLAND,25,92
TÉVEZ,ARGENTINA,29,92
ROONEY,ENGLAND,27,92
RONALDINHO,BRAZIL,33,92
HAZARD,BELGIUM,22,92
HIGUAÍN,ARGENTINA,25,92
SERGIO RAMOS,SPAIN,27,92
DI NATALE,ITALY,35,92
J. R. RIQUELME,ARGENTINA,35,92
VIDIĆ,SERBIA,31,92
TERRY,ENGLAND,32,92
ROBBEN,NETHERLANDS,29,92
SIRIGU,ITALY,26,91
TOTTI,ITALY,37,91
THIAGO MOTTA,ITALY,31,91
ROSSI,ITALY,26,91
MODRIĆ,CROATIA,28,91
XABI ALONSO,SPAIN,31,91
COURTOIS,BELGIUM,21,91
VILLA,SPAIN,31,91
ETO'O,CAMEROON,32,91
PEPE,PORTUGAL,30,91
BALE,WALES,24,91
CASSANO,ITALY,31,91
PJANIĆ,BOSNIA AND HERZEGOVINA,23,91
DŽEKO,BOSNIA AND HERZEGOVINA,27,91
JOÃO MOUTINHO,PORTUGAL,27,91
S. CAZORLA,SPAIN,28,90
BERBATOV,BULGARIA,32,90
A. SANCHEZ,CHILE,24,90
D. MILITO,ARGENTINA,34,90
DROGBA,CÔTE D'IVOIRE,35,90
SNEIJDER,NETHERLANDS,29,90
LLORIS,FRANCE,26,90
LAVEZZI,ARGENTINA,28,90
BENATIA,MOROCCO,26,90
NANI,PORTUGAL,26,90
BENZEMA,FRANCE,25,90
B. VALERO,SPAIN,28,90
BALOTELLI,ITALY,23,90
GÖTZE,GERMANY,21,90
KLOSE,GERMANY,35,90
DE ROSSI,ITALY,30,90
PIQUÉ,SPAIN,26,90
DIEGO COSTA,SPAIN,24,89
GIOVINCO,ITALY,26,89
DE SANCTIS,ITALY,36,89
VERMAELEN,BELGIUM,27,89
JUAN MATA,SPAIN,25,89
HUNTELAAR,NETHERLANDS,30,89
HUMMELS,GERMANY,24,89
IVANOVIĆ,SERBIA,29,89
DI MARÍA,ARGENTINA,25,89
DAVID LUIZ,BRAZIL,26,89
GONALONS,FRANCE,24,89
BRUNO ALVES,PORTUGAL,31,89
REINA,SPAIN,31,89
PASTORE,ARGENTINA,24,89
GRIEZMANN,FRANCE,22,89
JOVETIĆ,MONTENEGRO,23,89
ALEX,BRAZIL,36,89
ISCO,SPAIN,21,89
MARCHISIO,ITALY,27,89
VERRATTI,ITALY,20,89
VERÓN,ARGENTINA,38,89
SERGIO BUSQUETS,SPAIN,25,89
DIEGO LÓPEZ,SPAIN,31,89
ALEXANDRE PATO,BRAZIL,24,89
LUÍS FABIANO,BRAZIL,32,89
FRED,BRAZIL,29,89
JESÚS NAVAS,SPAIN,27,89
CAMBIASSO,ARGENTINA,33,89
MERTENS,BELGIUM,26,88
